Description	Expression	Age	Developmental stage	Organism part	Treatment	Label
Anthers of the young flower (F.AN.y)	5.02436	NA	stage 9	Young anther	NA	Metabolite1
Petals of the mature flower (F.PT.ad)	4.86139	NA	anthesis of the first flower	Petal	NA	Metabolite1
Internode (IN)	4.80015	NA	anthesis of the first flower	Internode	NA	Metabolite1
Flowers 9-11 (F9-11)	4.33681	NA	anthesis of the first flower	Flower 9-11	NA	Metabolite1
Silique 8 (SL8)	4.29526	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 8	NA	Metabolite1
Stamen filaments of the mature flower (F.FM.ad)	4.28343	NA	anthesis of the first flower	Stamen filament	NA	Metabolite1
Carpel of 6th and 7th flowers (POD.y6-7)	4.11597	NA	abscission of the first flower	Carpel	NA	Metabolite1
Pedicel (PED)	4.07322	NA	anthesis of the first flower	Pedicel	NA	Metabolite1
Pod of the silique 7 (POD7)	3.94508	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 7	NA	Metabolite1
Young seeds 3 (SD.y3)	3.89969	NA	abscission of the first flower	Seed from silique 3	NA	Metabolite1
Sepals of the young flower (F.SP.y)	3.86647	NA	stage 9	Young sepal	NA	Metabolite1
"Leaf Petiole, intermediate 2 (L.PET.i2)"	3.86401	12 day	NA	Leaf petiole	NA	Metabolite1
Axis of the inflorescence (AX)	3.83139	NA	anthesis of the first flower	Inflorescence axis	NA	Metabolite1
Flowers 6-8 (F6-8)	3.82058	NA	anthesis of the first flower	Flower 6-8	NA	Metabolite1
Root Apex (R.A)	3.77021	7 day	NA	Root Apex	NA	Metabolite1
Young seeds 5 (SD.y5)	3.75153	NA	abscission of the first flower	Seed from silique 5	NA	Metabolite1
Silique 6 (SL6)	3.73239	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 6	NA	Metabolite1
Carpels of the mature flower (F.CA.ad)	3.59363	NA	anthesis of the first flower	Carpel	NA	Metabolite1
Flowers 12-14 (F12-14)	3.57823	NA	anthesis of the first flower	Flower 12-14	NA	Metabolite1
Seedling Root (S.R)	3.5305	1 day	NA	Root	NA	Metabolite1
Pod of the silique 5 (POD5)	3.49143	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 5	NA	Metabolite1
Flower 3 (F3)	3.42257	NA	anthesis of the first flower	Flower 3	NA	Metabolite1
Young seeds 2 (SD.y2)	3.40438	NA	abscission of the first flower	Seed from silique 2	NA	Metabolite1
Heat 1 hour	3.383	21 day	NA	Leaf Heat 1 hour	heat	Metabolite1
Dry Seeds (SD.d)	3.26836	NA	Dry seeds	Seed	NA	Metabolite1
Flower 5 (F5)	3.26683	NA	anthesis of the first flower	Flower 5	NA	Metabolite1
Ovules from 6th and 7th flowers (OV.y6-7)	3.25779	NA	abscission of the first flower	Ovule	NA	Metabolite1
Germinating seeds 3 (SD.g3)	3.23325	3 day after soaking	NA	Seed	NA	Metabolite1
Stigmatic tissue (STI)	3.20885	NA	abscission of the first flower	Stigma	NA	Metabolite1
Flower 4 (F4)	3.14996	NA	anthesis of the first flower	Flower 4	NA	Metabolite1
Heat 6 hours	3.09413	21 day	NA	Leaf Heat 6 hours	heat	Metabolite1
Young seeds 4 (SD.y4)	3.05108	NA	abscission of the first flower	Seed from silique 4	NA	Metabolite1
Flowers 19 and following (F19+)	2.96516	NA	anthesis of the first flower	Inflorescence	NA	Metabolite1
Flowers 15-18 (F15-18)	2.91331	NA	anthesis of the first flower	Flower 15-18	NA	Metabolite1
"Leaf Petiole, intermediate 1 (L.PET.i1)"	2.9026	9 day	NA	Leaf petiole	NA	Metabolite1
Flower 2 (F2)	2.8479	NA	anthesis of the first flower	Flower 2	NA	Metabolite1
Cold 6 hours	2.78171	21 day	NA	Leaf Cold 6 hours	cold	Metabolite1
Seedling Hypocotyl (S.H)	2.77844	1 day	NA	Hypocotyl	NA	Metabolite1
Heat 24 hours	2.75033	21 day	NA	Leaf Heat 24 hours	heat	Metabolite1
Heat 3 hours	2.74914	21 day	NA	Leaf Heat 3 hours	heat	Metabolite1
Root (R )	2.74295	7 day	NA	Root	NA	Metabolite1
Silique 4 (SL4)	2.71813	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 4	NA	Metabolite1
Carpels of the young flower (F.CA.y)	2.65715	NA	stage 9	Young carpel	NA	Metabolite1
Pod of the silique 3 (POD3)	2.61254	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 3	NA	Metabolite1
"Leaf Vein, intermediate 2 (L.VN.i2)"	2.60869	12 day	NA	Leaf midrib	NA	Metabolite1
Seeds 7 (SD7)	2.60008	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 7	NA	Metabolite1
Cold 1 hour	2.57526	21 day	NA	Leaf Cold 1 hour	cold	Metabolite1
Flower 1 (F1)	2.48409	NA	anthesis of the first flower	Flower 1	NA	Metabolite1
Heat 12 hours	2.31337	21 day	NA	Leaf Heat 12 hours	heat	Metabolite1
Germinating seeds 2 (SD.g2)	2.31097	2 day after soaking	NA	Seed	NA	Metabolite1
Wounding 1 hour	2.25152	21 day	NA	Leaf Wounding 1 hour	wounding	Metabolite1
Young seeds 1 (SD.y1)	2.23649	NA	abscission of the first flower	Seed from silique 1	NA	Metabolite1
"Leaf Lamina, intermediate 1 (L.LAM.i1)"	2.13403	9 day	NA	Leaf blade	NA	Metabolite1
Seedling Meristem (S.M)	2.11014	1 day	NA	Shoot apical meristem	NA	Metabolite1
Leaf Vein of the mature leaf (L.VN.lg)	2.03668	NA	anthesis of the first flower	Leaf midrib	NA	Metabolite1
Cold 3 hours	2.00086	21 day	NA	Leaf Cold 3 hours	cold	Metabolite1
Cold 12 hours	1.99811	21 day	NA	Leaf Cold 12 hours	cold	Metabolite1
Leaf Lamina of the young leaf (L.LAM.y)	1.97312	7 day	NA	Leaf blade	NA	Metabolite1
Wounding 3 hours	1.96797	21 day	NA	Leaf Wounding 3 hours	wounding	Metabolite1
Leaf Petiole of the mature leaf (L.PET.lg)	1.93225	NA	anthesis of the first flower	Leaf petiole	NA	Metabolite1
Wounding 48 hours	1.8658	21 day	NA	Leaf Wounding 48 hours	wounding	Metabolite1
Pod of the silique 1 (POD1)	1.86261	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 1	NA	Metabolite1
Leaf Petiole of the young leaf (L.PET.y)	1.84119	7 day	NA	Leaf petiole	NA	Metabolite1
Silique 2 (SL2)	1.79771	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 2	NA	Metabolite1
Wounding 12 hours	1.7383	21 day	NA	Leaf Wounding 12 hours	wounding	Metabolite1
Wounding 24 hours	1.66824	21 day	NA	Leaf Wounding 24 hours	wounding	Metabolite1
Seedling Cotyledons (S.C)	1.59395	1 day	NA	Cotyledon	NA	Metabolite1
"Leaf Lamina, intermediate 2 (L.LAM.i2)"	1.58398	12 day	NA	Leaf blade	NA	Metabolite1
Seeds 5 (SD5)	1.50638	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 5	NA	Metabolite1
Cold 24 hours	1.49292	21 day	NA	Leaf Cold 24 hours	cold	Metabolite1
Germinating seeds 1 (SD.g1)	1.42786	1 day after soaking	NA	Seed	NA	Metabolite1
Wounding 6 hours	1.42119	21 day	NA	Leaf Wounding 6 hours	wounding	Metabolite1
Anthers of the mature flower (F.AN.ad)	1.10808	NA	anthesis of the first flower	Anther before opening	NA	Metabolite1
Opened Anthers (F.AN)	1.0882	NA	anthesis of the first flower	Opened Anther	NA	Metabolite1
Leaf Vein of the senescent leaf (L.VN.sn)	0.910549	NA	first silique was yellow and ready to open	Leaf midrib	NA	Metabolite1
Leaf Lamina of the mature leaf (L.LAM.lg)	0.904668	NA	anthesis of the first flower	Leaf blade	NA	Metabolite1
Seeds 1 (SD1)	0.830619	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 1	NA	Metabolite1
"Leaf, mature (L.lg)"	0.77655	NA	anthesis of the first flower	Leaf	NA	Metabolite1
Seeds 3 (SD3)	0.754933	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 3	NA	Metabolite1
Sepals of the mature flower (F.SP.ad)	0.6599	NA	anthesis of the first flower	Sepal	NA	Metabolite1
Leaf Petiole of the senescent leaf (L.PET.sn)	0.65047	NA	first silique was yellow and ready to open	Leaf petiole	NA	Metabolite1
Seeds from the senescent silique 1 (SD.sn1)	0.428397	NA	first silique was yellow and ready to open	Seed	NA	Metabolite1
Senescent silique 2 (SL.sn2)	0.396531	NA	first silique was yellow and ready to open	Silique	NA	Metabolite1
Senescent internode (IN.sn)	0.260647	NA	first silique was yellow and ready to open	Internode	NA	Metabolite1
Pod of the senescent silique 1 (POD.sn1)	0.22231	NA	first silique was yellow and ready to open	Pod	NA	Metabolite1
Pod of the senescent silique 1 (POD.sn1)	6.71214	NA	first silique was yellow and ready to open	Pod	NA	GeneProduct3
Senescent internode (IN.sn)	6.04815	NA	first silique was yellow and ready to open	Internode	NA	GeneProduct3
Senescent silique 2 (SL.sn2)	5.7967	NA	first silique was yellow and ready to open	Silique	NA	GeneProduct3
Leaf Vein of the senescent leaf (L.VN.sn)	5.78289	NA	first silique was yellow and ready to open	Leaf midrib	NA	GeneProduct3
Seeds from the senescent silique 1 (SD.sn1)	5.76728	NA	first silique was yellow and ready to open	Seed	NA	GeneProduct3
Leaf Petiole of the senescent leaf (L.PET.sn)	5.55991	NA	first silique was yellow and ready to open	Leaf petiole	NA	GeneProduct3
Pod of the silique 3 (POD3)	5.08576	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 3	NA	GeneProduct3
Cold 24 hours	4.87589	21 day	NA	Leaf Cold 24 hours	cold	GeneProduct3
Pod of the silique 1 (POD1)	4.84875	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 1	NA	GeneProduct3
"Leaf, mature (L.lg)"	4.83253	NA	anthesis of the first flower	Leaf	NA	GeneProduct3
Opened Anthers (F.AN)	4.73017	NA	anthesis of the first flower	Opened Anther	NA	GeneProduct3
Sepals of the mature flower (F.SP.ad)	4.6752	NA	anthesis of the first flower	Sepal	NA	GeneProduct3
Pod of the silique 5 (POD5)	4.64975	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 5	NA	GeneProduct3
Dry Seeds (SD.d)	4.59894	NA	Dry seeds	Seed	NA	GeneProduct3
Silique 2 (SL2)	4.55934	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 2	NA	GeneProduct3
Leaf Vein of the mature leaf (L.VN.lg)	4.54705	NA	anthesis of the first flower	Leaf midrib	NA	GeneProduct3
Cold 12 hours	4.4734	21 day	NA	Leaf Cold 12 hours	cold	GeneProduct3
Petals of the mature flower (F.PT.ad)	4.17673	NA	anthesis of the first flower	Petal	NA	GeneProduct3
Pod of the silique 7 (POD7)	4.1079	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 7	NA	GeneProduct3
Silique 4 (SL4)	4.10684	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 4	NA	GeneProduct3
Leaf Lamina of the mature leaf (L.LAM.lg)	4.03818	NA	anthesis of the first flower	Leaf blade	NA	GeneProduct3
Leaf Petiole of the mature leaf (L.PET.lg)	4.0251	NA	anthesis of the first flower	Leaf petiole	NA	GeneProduct3
Flower 1 (F1)	3.99522	NA	anthesis of the first flower	Flower 1	NA	GeneProduct3
Flower 2 (F2)	3.90788	NA	anthesis of the first flower	Flower 2	NA	GeneProduct3
